month,year,leadsource,city,model,email_delivered,email_open,email_click,sms_delivered
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abgila,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abhayapuri,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abhayapuri,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abohar,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abu Road,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adapur,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Addanki,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Addanki,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adilabad,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,AMAZE Petrol,,,,21
